Index;Class;Formula;Exp m/z;Total Abund;#C;#H;#N;#O;#S;H/C;N/C;O/C;S/C
182;HC;C42H68;572,531554;8477096;42;68;0;0;0;1,619;0;0;0
183;HC;C43H70;586,546851;10963068,41;43;70;0;0;0;1,6279;0;0;0
184;HC;C44H72;600,562377;11833402,31;44;72;0;0;0;1,6364;0;0;0
185;HC;C45H74;614,578158;9307702;45;74;0;0;0;1,6444;0;0;0
186;HC;C46H76;628,593943;7989144,2;46;76;0;0;0;1,6522;0;0;0
187;HC;C47H78;642,609804;7904614;47;78;0;0;0;1,6596;0;0;0
188;HC;C48H80;656,625377;8705277,16;48;80;0;0;0;1,6667;0;0;0
189;HC;C49H82;670,641279;5816430;49;82;0;0;0;1,6735;0;0;0
190;HC;C50H84;684,656769;1350746;50;84;0;0;0;1,68;0;0;0
191;HC;C51H86;698,672762;5054799;51;86;0;0;0;1,6863;0;0;0
192;HC;C52H88;712,688054;5415359,15;52;88;0;0;0;1,6923;0;0;0
193;HC;C53H90;726,70382;4488133,45;53;90;0;0;0;1,6981;0;0;0
194;HC;C54H92;740,71953;2952191,18;54;92;0;0;0;1,7037;0;0;0
195;HC;C55H94;754,735105;3653916;55;94;0;0;0;1,7091;0;0;0
196;HC;C56H96;768,75083;3447602;56;96;0;0;0;1,7143;0;0;0
197;HC;C57H98;782,766305;2688132;57;98;0;0;0;1,7193;0;0;0
198;HC;C58H100;796,781971;2162291,16;58;100;0;0;0;1,7241;0;0;0
199;HC;C59H102;810,798003;1981075;59;102;0;0;0;1,7288;0;0;0
200;HC;C60H104;824,813929;1457585,45;60;104;0;0;0;1,7333;0;0;0
201;HC;C61H106;838,828822;1614731,83;61;106;0;0;0;1,7377;0;0;0
202;HC;C63H110;866,86028;1320727,51;63;110;0;0;0;1,746;0;0;0
203;HC;C64H112;880,875976;1145974,18;64;112;0;0;0;1,75;0;0;0
204;HC;C27H36;360,281136;3036374,26;27;36;0;0;0;1,3333;0;0;0
205;HC;C28H38;374,296691;3221370,6;28;38;0;0;0;1,3571;0;0;0
206;HC;C29H40;388,312464;3558965;29;40;0;0;0;1,3793;0;0;0
207;HC;C30H42;402,328004;4975777;30;42;0;0;0;1,4;0;0;0
208;HC;C31H44;416,343868;6466541,41;31;44;0;0;0;1,4194;0;0;0
209;HC;C32H46;430,359493;2113456,24;32;46;0;0;0;1,4375;0;0;0
210;HC;C33H48;444,374882;7041756;33;48;0;0;0;1,4545;0;0;0
211;HC;C34H50;458,390718;7820436;34;50;0;0;0;1,4706;0;0;0
212;HC;C35H52;472,406441;6437281;35;52;0;0;0;1,4857;0;0;0
213;HC;C36H54;486,421797;8416731;36;54;0;0;0;1,5;0;0;0
214;HC;C37H56;500,437852;8350616;37;56;0;0;0;1,5135;0;0;0
215;HC;C38H58;514,453378;11856243;38;58;0;0;0;1,5263;0;0;0
216;HC;C39H60;528,469306;13238610,53;39;60;0;0;0;1,5385;0;0;0
217;HC;C40H62;542,484616;12432589;40;62;0;0;0;1,55;0;0;0
218;HC;C41H64;556,500294;11878599,36;41;64;0;0;0;1,561;0;0;0
219;HC;C42H66;570,515832;10893451;42;66;0;0;0;1,5714;0;0;0
220;HC;C43H68;584,53155;9510369,48;43;68;0;0;0;1,5814;0;0;0
221;HC;C44H70;598,546659;13057232,63;44;70;0;0;0;1,5909;0;0;0
222;HC;C45H72;612,562593;8987975,25;45;72;0;0;0;1,6;0;0;0
223;HC;C46H74;626,578174;8801438,39;46;74;0;0;0;1,6087;0;0;0
224;HC;C47H76;640,59407;7949990,08;47;76;0;0;0;1,617;0;0;0
225;HC;C48H78;654,609937;10309854,13;48;78;0;0;0;1,625;0;0;0
226;HC;C49H80;668,625471;6665170;49;80;0;0;0;1,6327;0;0;0
227;HC;C51H84;696,656963;6967951,13;51;84;0;0;0;1,6471;0;0;0
228;HC;C52H86;710,672645;6845881,4;52;86;0;0;0;1,6538;0;0;0
229;HC;C53H88;724,68822;5251387,74;53;88;0;0;0;1,6604;0;0;0
230;HC;C54H90;738,704059;3815263,63;54;90;0;0;0;1,6667;0;0;0
231;HC;C55H92;752,71972;3705381,92;55;92;0;0;0;1,6727;0;0;0
232;HC;C56H94;766,735222;4559261;56;94;0;0;0;1,6786;0;0;0
233;HC;C57H96;780,750428;3405501;57;96;0;0;0;1,6842;0;0;0
234;HC;C58H98;794,766503;2103148;58;98;0;0;0;1,6897;0;0;0
235;HC;C59H100;808,782436;2745402;59;100;0;0;0;1,6949;0;0;0
236;HC;C60H102;822,797934;2947371;60;102;0;0;0;1,7;0;0;0
237;HC;C61H104;836,813299;1582219;61;104;0;0;0;1,7049;0;0;0
238;HC;C62H106;850,829079;674950;62;106;0;0;0;1,7097;0;0;0
239;HC;C63H108;864,844288;2497978;63;108;0;0;0;1,7143;0;0;0
240;HC;C64H110;878,860529;686901;64;110;0;0;0;1,7188;0;0;0
241;HC;C65H112;892,875479;765163;65;112;0;0;0;1,7231;0;0;0
242;HC;C27H34;358,265467;2206088,2;27;34;0;0;0;1,2593;0;0;0
243;HC;C28H36;372,28097;4172059;28;36;0;0;0;1,2857;0;0;0
244;HC;C29H38;386,296751;4532244;29;38;0;0;0;1,3103;0;0;0
245;HC;C30H40;400,312373;5182928;30;40;0;0;0;1,3333;0;0;0
246;HC;C31H42;414,328224;5765810,52;31;42;0;0;0;1,3548;0;0;0
247;HC;C32H44;428,343909;3149715;32;44;0;0;0;1,375;0;0;0
248;HC;C33H46;442,359471;4988827;33;46;0;0;0;1,3939;0;0;0
249;HC;C34H48;456,375271;1528542;34;48;0;0;0;1,4118;0;0;0
250;HC;C35H50;470,390652;5528144;35;50;0;0;0;1,4286;0;0;0
251;HC;C36H52;484,406359;8306045;36;52;0;0;0;1,4444;0;0;0
252;HC;C37H54;498,422014;9759848,68;37;54;0;0;0;1,4595;0;0;0
253;HC;C38H56;512,43782;8547586,94;38;56;0;0;0;1,4737;0;0;0
254;HC;C39H58;526,45344;13501507,78;39;58;0;0;0;1,4872;0;0;0
255;HC;C40H60;540,469108;10162916,97;40;60;0;0;0;1,5;0;0;0
256;HC;C41H62;554,484967;9806083,95;41;62;0;0;0;1,5122;0;0;0
257;HC;C42H64;568,500123;11050046;42;64;0;0;0;1,5238;0;0;0
258;HC;C43H66;582,515786;9859305,19;43;66;0;0;0;1,5349;0;0;0
259;HC;C44H68;596,531101;12205598,85;44;68;0;0;0;1,5455;0;0;0
260;HC;C45H70;610,547123;9304203,74;45;70;0;0;0;1,5556;0;0;0
261;HC;C46H72;624,56258;8244617,63;46;72;0;0;0;1,5652;0;0;0
262;HC;C47H74;638,578554;7954737,28;47;74;0;0;0;1,5745;0;0;0
263;HC;C48H76;652,594128;10325404,49;48;76;0;0;0;1,5833;0;0;0
264;HC;C49H78;666,609676;6812468,41;49;78;0;0;0;1,5918;0;0;0
265;HC;C50H80;680,62559;4036031;50;80;0;0;0;1,6;0;0;0
266;HC;C51H82;694,641239;6493826;51;82;0;0;0;1,6078;0;0;0
267;HC;C52H84;708,656765;6614444,57;52;84;0;0;0;1,6154;0;0;0
268;HC;C53H86;722,672671;4585683,37;53;86;0;0;0;1,6226;0;0;0
269;HC;C54H88;736,688407;4559796,02;54;88;0;0;0;1,6296;0;0;0
270;HC;C55H90;750,703946;3650875,81;55;90;0;0;0;1,6364;0;0;0
271;HC;C56H92;764,719243;5121786;56;92;0;0;0;1,6429;0;0;0
272;HC;C57H94;778,734879;3745388;57;94;0;0;0;1,6491;0;0;0
273;HC;C58H96;792,750682;3080860,12;58;96;0;0;0;1,6552;0;0;0
274;HC;C59H98;806,766698;3489129;59;98;0;0;0;1,661;0;0;0
275;HC;C60H100;820,782254;2811275;60;100;0;0;0;1,6667;0;0;0
276;HC;C61H102;834,797664;2710395;61;102;0;0;0;1,6721;0;0;0
277;HC;C62H104;848,813495;1554714,1;62;104;0;0;0;1,6774;0;0;0
278;HC;C63H106;862,828636;1474444;63;106;0;0;0;1,6825;0;0;0
279;HC;C64H108;876,844884;1612852,29;64;108;0;0;0;1,6875;0;0;0
280;HC;C65H110;890,860288;1610850;65;110;0;0;0;1,6923;0;0;0
281;HC;C67H114;918,891526;941001;67;114;0;0;0;1,7015;0;0;0
282;HC;C69H118;946,922783;715605;69;118;0;0;0;1,7101;0;0;0
283;HC;C27H32;356,249833;1186879;27;32;0;0;0;1,1852;0;0;0
284;HC;C28H34;370,265363;2306117,41;28;34;0;0;0;1,2143;0;0;0
285;HC;C29H36;384,280999;3660128,41;29;36;0;0;0;1,2414;0;0;0
286;HC;C30H38;398,296831;2625852,87;30;38;0;0;0;1,2667;0;0;0
287;HC;C31H40;412,312472;3641709,81;31;40;0;0;0;1,2903;0;0;0
288;HC;C32H42;426,327678;1041726;32;42;0;0;0;1,3125;0;0;0
289;HC;C32H42;426,328141;1132454;32;42;0;0;0;1,3125;0;0;0
290;HC;C33H44;440,343842;3838666,99;33;44;0;0;0;1,3333;0;0;0
291;HC;C34H46;454,35947;4537455;34;46;0;0;0;1,3529;0;0;0
292;HC;C35H48;468,374991;6755232,44;35;48;0;0;0;1,3714;0;0;0
293;HC;C36H50;482,390711;7414853,25;36;50;0;0;0;1,3889;0;0;0
294;HC;C37H52;496,406255;11661682,45;37;52;0;0;0;1,4054;0;0;0
295;HC;C38H54;510,422036;9361563;38;54;0;0;0;1,4211;0;0;0
296;HC;C39H56;524,437607;11068247;39;56;0;0;0;1,4359;0;0;0
297;HC;C40H58;538,45363;7608413;40;58;0;0;0;1,45;0;0;0
298;HC;C41H60;552,468993;8429141,43;41;60;0;0;0;1,4634;0;0;0
299;HC;C42H62;566,484671;9894275,35;42;62;0;0;0;1,4762;0;0;0
300;HC;C43H64;580,500289;7278687,12;43;64;0;0;0;1,4884;0;0;0
301;HC;C44H66;594,515471;9843639;44;66;0;0;0;1,5;0;0;0
302;HC;C45H68;608,531101;10031283,28;45;68;0;0;0;1,5111;0;0;0
303;HC;C46H70;622,546947;7135153;46;70;0;0;0;1,5217;0;0;0
304;HC;C47H72;636,562766;7382966,14;47;72;0;0;0;1,5319;0;0;0
305;HC;C48H74;650,578228;10624552;48;74;0;0;0;1,5417;0;0;0
306;HC;C49H76;664,594363;7265685;49;76;0;0;0;1,551;0;0;0
307;HC;C50H78;678,609764;5277239,75;50;78;0;0;0;1,56;0;0;0
308;HC;C51H80;692,625394;6363213,55;51;80;0;0;0;1,5686;0;0;0
309;HC;C52H82;706,641232;6829190,83;52;82;0;0;0;1,5769;0;0;0
310;HC;C53H84;720,65684;5836180;53;84;0;0;0;1,5849;0;0;0
311;HC;C54H86;734,672451;5708194;54;86;0;0;0;1,5926;0;0;0
312;HC;C55H88;748,688276;4587813;55;88;0;0;0;1,6;0;0;0
313;HC;C56H90;762,703665;4669005;56;90;0;0;0;1,6071;0;0;0
314;HC;C57H92;776,719467;4727714,06;57;92;0;0;0;1,614;0;0;0
315;HC;C58H94;790,735037;3360184;58;94;0;0;0;1,6207;0;0;0
316;HC;C59H96;804,750781;2976329,48;59;96;0;0;0;1,6271;0;0;0
317;HC;C60H98;818,76672;3096948,8;60;98;0;0;0;1,6333;0;0;0
318;HC;C61H100;832,782487;2555785,56;61;100;0;0;0;1,6393;0;0;0
319;HC;C62H102;846,797578;2497697;62;102;0;0;0;1,6452;0;0;0
320;HC;C63H104;860,813057;1965324,02;63;104;0;0;0;1,6508;0;0;0
321;HC;C64H106;874,828681;1702704;64;106;0;0;0;1,6562;0;0;0
322;HC;C65H108;888,844286;1152997;65;108;0;0;0;1,6615;0;0;0
323;HC;C66H110;902,860398;950504;66;110;0;0;0;1,6667;0;0;0
324;HC;C67H112;916,876378;1692553;67;112;0;0;0;1,6716;0;0;0
325;HC;C68H114;930,89168;1677453;68;114;0;0;0;1,6765;0;0;0
326;HC;C69H116;944,90767;973444;69;116;0;0;0;1,6812;0;0;0
327;HC;C70H118;958,922332;703105;70;118;0;0;0;1,6857;0;0;0
328;HC;C27H30;354,233952;1145226;27;30;0;0;0;1,1111;0;0;0
329;HC;C28H32;368,249782;1532750;28;32;0;0;0;1,1429;0;0;0
330;HC;C29H34;382,265423;1695617,41;29;34;0;0;0;1,1724;0;0;0
331;HC;C30H36;396,281045;1991165,96;30;36;0;0;0;1,2;0;0;0
332;HC;C31H38;410,296784;2235633;31;38;0;0;0;1,2258;0;0;0
333;HC;C32H40;424,312496;1523168;32;40;0;0;0;1,25;0;0;0
334;HC;C33H42;438,327971;3266684,9;33;42;0;0;0;1,2727;0;0;0
335;HC;C34H44;452,343855;4184319,2;34;44;0;0;0;1,2941;0;0;0
